entropy,bits per pixel,bits per pixel (no header)
13.693073906179126,18.793392181396484,13.719478607177734
14.877939186182871,24.33019256591797,14.901512145996094
9.385168861902612,11.053783416748047,9.409996032714844
13.229724101817283,17.423946380615234,13.257186889648438
9.471691928548633,13.13287353515625,9.49783706665039
13.135490793158342,18.081790924072266,13.161918640136719
11.023324551216714,12.10085678100586,11.052803039550781
12.601750678991877,15.376708984375,12.629932403564453
12.743259993938464,14.204952239990234,12.772041320800781
12.783290084626879,16.946033477783203,12.810588836669922
14.10876890523976,20.172985076904297,14.134822845458984
9.222257074655062,10.481807708740234,9.25033950805664
13.575149624578216,18.717933654785156,13.602165222167969
13.607346713403357,18.656036376953125,13.63338851928711
11.360281514803184,16.125202178955078,11.395706176757812
13.206672672600112,18.654273986816406,13.232223510742188
9.111331417485204,10.31441879272461,9.145954132080078
10.979350835521416,21.50934600830078,11.030448913574219
11.189279935333209,13.122962951660156,11.215858459472656
10.102612109050037,10.89950942993164,10.12841796875
12.698664600940353,17.60015106201172,12.731925964355469
10.223186028515963,13.879608154296875,10.244476318359375
11.551019024933355,15.408050537109375,11.577072143554688
9.626428792643859,11.847740173339844,9.651226043701172
10.590149646908088,12.03641128540039,10.618461608886719
12.136889912779438,15.674205780029297,12.164325714111328
10.165374120068511,15.726497650146484,10.188789367675781
8.486525515694725,9.507225036621094,8.519432067871094
13.254599157908004,18.425384521484375,13.280845642089844
14.203452713204829,23.268814086914062,14.227657318115234
11.562275097281605,17.640583038330078,11.588607788085938
14.208816033664702,18.638561248779297,14.236682891845703
13.663536881892457,20.915691375732422,13.688179016113281
13.847553614291469,21.45138931274414,13.871875762939453
14.996767013471269,23.906963348388672,15.022136688232422
11.99042710881599,15.203933715820312,12.016960144042969
14.878231596350442,24.508159637451172,14.901866912841797
14.208816033664702,18.638561248779297,14.236682891845703
15.186697723753849,24.287811279296875,15.212337493896484
10.74651790834204,11.711944580078125,10.774295806884766
8.307208288610493,8.742351531982422,8.33267593383789
12.500358307890316,14.962268829345703,12.529277801513672
11.559203830094424,16.020740509033203,11.585224151611328
14.291957268399797,22.122936248779297,14.317401885986328
13.694203466164979,19.481006622314453,13.72055435180664
14.680783320864519,21.406829833984375,14.707805633544922
16.86070748767848,35.08045196533203,16.876445770263672
14.628329134157926,22.173507690429688,14.654670715332031
11.951736657178293,14.908256530761719,11.976974487304688
14.054763147665351,18.53387451171875,14.08209228515625
12.597127477055187,15.544090270996094,12.62546157836914
7.185517201116964,7.2587127685546875,7.213161468505859
11.94490851442304,14.036380767822266,11.971343994140625
10.886625727177863,12.987701416015625,10.912609100341797
9.935206338924633,10.572433471679688,9.966201782226562
16.336143071482393,30.54247283935547,16.35735321044922
13.402457074861221,19.066505432128906,13.428348541259766
14.40704699921306,25.52035903930664,14.426078796386719
15.507839194947445,27.92491912841797,15.529460906982422
14.972732311808066,22.866161346435547,14.998207092285156
12.943076026069795,17.071937561035156,12.969539642333984
13.725470819352218,18.37563705444336,13.751476287841797
8.036068660851328,8.28597640991211,8.064720153808594
6.17800824513949,7.497524261474609,6.239532470703125
11.129937320726667,14.132022857666016,11.15707015991211
11.872370978793125,14.603710174560547,11.899044036865234
13.338366130073394,17.637474060058594,13.365829467773438
13.83689865679901,20.351734161376953,13.864147186279297
14.77428048355,22.70214080810547,14.799213409423828
11.25427600153949,13.503780364990234,11.282421112060547
7.758085520852452,7.824188232421875,7.783561706542969
13.288612614426375,17.530555725097656,13.315330505371094
12.503115518371986,18.514999389648438,12.52811050415039
14.291957268399797,22.122936248779297,14.317401885986328
7.632494818333317,8.430526733398438,7.65997314453125
13.200272107851674,18.36034393310547,13.224906921386719
9.612612783111526,11.31833267211914,9.636528015136719
9.628662910371013,13.097175598144531,9.66189956665039
14.814234314300725,26.99941635131836,14.834033966064453
15.107263115422205,24.59040069580078,15.131343841552734
12.55309857060149,15.37186050415039,12.580436706542969
10.908521372289151,14.058540344238281,10.936058044433594
12.600996932117033,21.540081024169922,12.623844146728516
13.78345105520961,19.449298858642578,13.809593200683594
13.335445210519284,20.394500732421875,13.360610961914062
15.803058831865314,26.74582290649414,15.827388763427734
14.23158601894522,19.434310913085938,14.258563995361328
14.619386298752485,24.53386688232422,14.643325805664062
11.692851735367164,14.773754119873047,11.720245361328125
11.235244722825286,13.748344421386719,11.261341094970703
5.601307019519968,5.726295471191406,5.654144287109375
14.6769237580511,24.388629913330078,14.7001953125
10.475436370833055,12.206714630126953,10.50225830078125
15.559533303941983,25.012908935546875,15.58652114868164
11.467333593786318,14.441947937011719,11.493179321289062
12.221443694886325,17.51620101928711,12.249053955078125
13.39465056653619,16.450965881347656,13.422676086425781
9.173749738170105,9.897209167480469,9.202693939208984
12.999440338582136,18.258892059326172,13.024974822998047
11.25082729243983,12.387393951416016,11.278617858886719
11.68341436159759,14.21609878540039,11.71148681640625
4.91841178315659,5.009960174560547,4.96051025390625
11.893389126247428,13.698421478271484,11.919048309326172
12.637887529597922,19.085933685302734,12.659717559814453
14.43485437290917,22.927841186523438,14.459671020507812
9.935251370552333,10.490608215332031,9.96231460571289
14.105361041800482,22.136722564697266,14.132579803466797
13.651641191295417,18.19092559814453,13.677509307861328
12.256373736875082,15.099655151367188,12.284008026123047
15.136509039933733,24.011192321777344,15.16204833984375
16.007004948549408,28.245555877685547,16.030677795410156
13.125752326307266,16.665851593017578,13.153202056884766
9.625127745038501,10.209346771240234,9.653919219970703
13.8808841147763,20.345394134521484,13.906005859375
11.183686033699214,16.912567138671875,11.206844329833984
13.996368841962559,20.351818084716797,14.021987915039062
13.254599157908004,18.425384521484375,13.280845642089844
9.222257074655062,10.481807708740234,9.25033950805664
11.148894686563295,14.185379028320312,11.17767333984375
12.500358307890316,14.962268829345703,12.529277801513672
12.989579520502266,17.354827880859375,13.016429901123047
15.186697723753849,24.287811279296875,15.212337493896484
11.688335047246092,17.940753936767578,11.719303131103516
13.016292312183072,17.180614471435547,13.042236328125
12.914368896042378,16.43325424194336,12.941749572753906
13.253262437307304,16.324466705322266,13.281005859375
11.700811749803554,15.218475341796875,11.729480743408203
14.803794551660145,23.922462463378906,14.82943344116211
14.48663888909412,22.762718200683594,14.510383605957031
11.951736657178293,14.908256530761719,11.976974487304688
12.809449543485583,15.598884582519531,12.837169647216797
10.295271496677904,12.632156372070312,10.322486877441406
13.127663911757923,18.304473876953125,13.153480529785156
11.68341436159759,14.21609878540039,11.71148681640625
14.45985196662126,22.712493896484375,14.48394775390625
15.716849556085759,26.048816680908203,15.74123764038086
14.406530427605574,22.327152252197266,14.431140899658203
11.654236650196921,17.86383056640625,11.675605773925781
12.39098506732852,20.213897705078125,12.413002014160156
14.283495902473282,21.049789428710938,14.308586120605469
11.562275097281605,17.640583038330078,11.588607788085938
9.440590440665558,11.276756286621094,9.469657897949219
10.797178063241324,12.30752944946289,10.827804565429688
12.392649644294512,16.752643585205078,12.416542053222656
12.652898470393534,18.878761291503906,12.678031921386719
16.01457508109977,30.488265991210938,16.03453826904297
13.127663911757923,18.304473876953125,13.153480529785156
12.915215511153418,18.834747314453125,12.939483642578125
14.56054222235116,23.82288360595703,14.582942962646484
12.698664600940353,17.60015106201172,12.731925964355469
7.278078187382783,7.849090576171875,7.306766510009766
14.105557491270392,20.91448974609375,14.130363464355469
12.528518490735673,16.182144165039062,12.556682586669922
13.150870408236045,16.674213409423828,13.177532196044922
12.017406978005855,16.83981704711914,12.046035766601562
13.306744784882111,16.685775756835938,13.334487915039062
10.458786855687878,11.409034729003906,10.488483428955078
13.150870408236045,16.674213409423828,13.177532196044922
8.01406834490211,8.167217254638672,8.037811279296875
14.628329134157926,22.173507690429688,14.654670715332031
12.77626325855959,16.586071014404297,12.802326202392578
15.22243467190118,29.404010772705078,15.239707946777344
13.83689865679901,20.351734161376953,13.864147186279297
12.297653196811343,14.142410278320312,12.324775695800781
13.511734355544602,19.54613494873047,13.538280487060547
13.526645482846103,18.893753051757812,13.552112579345703
13.586983673444482,19.785423278808594,13.613334655761719
7.30182431398623,7.366970062255859,7.332340240478516
10.657339075361897,17.37570571899414,10.690990447998047
7.329317746230369,7.393161773681641,7.3616485595703125
10.908521372289151,14.058540344238281,10.936058044433594
12.77626325855959,16.586071014404297,12.802326202392578
11.347687514516178,14.55343246459961,11.375564575195312
12.349429991535404,16.085403442382812,12.376564025878906
13.039219931211575,16.44437026977539,13.067302703857422
7.28761784785727,7.361907958984375,7.312831878662109
15.58704701638075,25.638404846191406,15.61172103881836
13.197029050957486,19.4937744140625,13.22116470336914
11.305708634827528,14.899555206298828,11.333423614501953
9.373390276361954,10.004383087158203,9.406455993652344
14.355240952209513,24.178619384765625,14.376163482666016
10.979750858994962,12.314598083496094,11.00787353515625
12.416849835712624,16.021427154541016,12.442821502685547
12.67633451754037,16.800952911376953,12.70364761352539
12.725470671179886,16.612884521484375,12.751533508300781
7.575705955593183,7.639900207519531,7.608692169189453
5.86646466632956,5.924808502197266,5.89215087890625
13.066552277684599,18.01361083984375,13.093341827392578
8.786413308714287,9.768413543701172,8.814041137695312
11.510041325325673,17.36919403076172,11.53546142578125
8.271242605627753,10.558937072753906,8.306053161621094
11.148894686563295,14.185379028320312,11.17767333984375
11.633060203088784,14.161136627197266,11.660259246826172
13.891742190106013,21.63085174560547,13.915882110595703
5.601307019519968,5.726295471191406,5.654144287109375
11.20408046924919,13.632076263427734,11.231552124023438
14.10876890523976,20.172985076904297,14.134822845458984
14.877939186182871,24.33019256591797,14.901512145996094
14.549070040455517,19.462261199951172,14.577220916748047
11.495677970770766,14.145931243896484,11.521907806396484
13.897817579378655,21.406997680664062,13.922985076904297
13.436979270474316,19.00583267211914,13.464054107666016
12.915215511153418,18.834747314453125,12.939483642578125
5.654197436526149,5.731777191162109,5.6839752197265625
13.599479259030876,20.00048065185547,13.625186920166016
13.309593965159376,17.765647888183594,13.336284637451172
11.364285713041443,15.72250747680664,11.39047622680664
12.854790349973092,17.934803009033203,12.878936767578125
13.159811587673712,20.756900787353516,13.182430267333984
11.824128227156404,14.017963409423828,11.851654052734375
10.326853235858666,13.099437713623047,10.355308532714844
13.527106173165759,18.833236694335938,13.553237915039062
10.023996174890701,10.751117706298828,10.052745819091797
12.999440338582136,18.258892059326172,13.024974822998047
7.1495905664290085,7.227108001708984,7.178112030029297
14.208816033664702,18.638561248779297,14.236682891845703
9.122180168355436,13.996021270751953,9.190620422363281
6.819295010044176,6.894039154052734,6.845550537109375
13.095723939983126,16.559436798095703,13.122608184814453
12.750211032557859,15.45833969116211,12.777153015136719
7.62347524253033,7.687812805175781,7.654918670654297
9.977179596699372,14.145275115966797,10.008319854736328
11.644781088581436,14.936233520507812,11.672004699707031
11.25294655386615,12.552360534667969,11.278820037841797
14.900917499552019,22.580158233642578,14.926990509033203
15.63675590122107,26.9407958984375,15.66082763671875
13.012081061807423,16.67911148071289,13.039176940917969
13.693073906179126,18.793392181396484,13.719478607177734
14.582378107671163,22.2177734375,14.607128143310547
15.414674329213929,29.614089965820312,15.433040618896484
13.643302517366392,21.076251983642578,13.666374206542969
13.150870408236045,16.674213409423828,13.177532196044922
12.914368896042378,16.43325424194336,12.941749572753906
9.680424149997807,11.039108276367188,9.710712432861328
11.357590847738804,13.748477935791016,11.384689331054688
11.951736657178293,14.908256530761719,11.976974487304688
15.954846551290155,28.30896759033203,15.976642608642578
9.626428792643859,11.847740173339844,9.651226043701172
13.444473458818079,18.083606719970703,13.471694946289062
12.883699806344733,20.42718505859375,12.907573699951172
12.943076026069795,17.071937561035156,12.969539642333984
12.353009028506582,15.983028411865234,12.37957763671875
13.492668688752676,16.98779296875,13.520401000976562
15.607098642171653,27.181865692138672,15.631523132324219
12.054861645749016,16.451690673828125,12.08175277709961
9.680424149997807,11.039108276367188,9.710712432861328
7.388376936067122,7.839744567871094,7.418426513671875
8.786413308714287,9.768413543701172,8.814041137695312
12.101911612585603,15.49197006225586,12.128227233886719
13.294518250108245,19.674240112304688,13.32021713256836
13.193334057862774,20.103900909423828,13.219192504882812
9.111331417485204,10.31441879272461,9.145954132080078
11.955096408174732,15.622665405273438,11.981990814208984
13.575149624578216,18.717933654785156,13.602165222167969
16.406625154144262,30.094593048095703,16.429946899414062
13.996368841962559,20.351818084716797,14.021987915039062
14.170691109930285,22.694416046142578,14.194149017333984
11.233140599742619,18.451358795166016,11.251747131347656
12.397437707056717,15.048152923583984,12.425846099853516
15.00494691130734,22.81214141845703,15.03133773803711
12.435214627033782,17.763648986816406,12.460136413574219
10.63236996344126,14.056549072265625,10.659568786621094
12.30622980854726,15.15201187133789,12.334651947021484
9.796834257334924,11.75845718383789,9.824970245361328
12.752433218445999,16.004417419433594,12.779388427734375
12.637192904777418,18.15396499633789,12.663589477539062
8.786413308714287,9.768413543701172,8.814041137695312
14.110886977172921,25.66655731201172,14.1334228515625
7.1667883046253795,7.230556488037109,7.19683837890625
9.312805496328382,9.59048080444336,9.338951110839844
10.05166668617246,11.149993896484375,10.081562042236328
10.897066017347429,12.880119323730469,10.923450469970703
11.904546334153387,16.50196075439453,11.9312744140625
11.64303578987706,14.29599380493164,11.670967102050781
14.812696891790775,27.22256088256836,14.832530975341797
13.076989643871675,17.885780334472656,13.102119445800781
10.490075468267024,10.887619018554688,10.518245697021484
11.83334999386052,14.869148254394531,11.859573364257812
13.865753165185387,21.999431610107422,13.888458251953125
12.631222584070427,15.613697052001953,12.658073425292969
11.474305835622362,14.313968658447266,11.502681732177734
10.879079743455037,13.024017333984375,10.9085693359375
14.672891392393847,21.07388687133789,14.699417114257812
11.889065931275526,14.1700439453125,11.916244506835938
11.266874216423265,13.418426513671875,11.294197082519531
13.527106173165759,18.833236694335938,13.553237915039062
11.046673849417301,14.519268035888672,11.079959869384766
15.023427312504154,22.915786743164062,15.049095153808594
10.081388619243828,10.90921401977539,10.1107177734375
14.41196240551563,22.435752868652344,14.437782287597656
8.564362163878966,11.496265411376953,8.604293823242188
12.724557554780773,19.595417022705078,12.752006530761719
16.043723701643263,28.140933990478516,16.06768798828125
12.749327134640877,21.35513687133789,12.771995544433594
13.05767200579267,17.50326156616211,13.084606170654297
15.987050188207489,31.899799346923828,16.004005432128906
12.553615101361139,17.18167495727539,12.579872131347656
8.271242605627753,10.558937072753906,8.306053161621094
12.64108915274046,17.769500732421875,12.669189453125
14.48663888909412,22.762718200683594,14.510383605957031
15.267100889405903,24.463729858398438,15.292316436767578
12.597127477055187,15.544090270996094,12.62546157836914
7.30182431398623,7.366970062255859,7.332340240478516
15.507839194947445,27.92491912841797,15.529460906982422
5.951582075922891,6.954051971435547,5.973049163818359
12.027489455496333,15.880035400390625,12.056072235107422
10.628687180157762,11.585224151611328,10.656036376953125
12.221443694886325,17.51620101928711,12.249053955078125
12.053380179199975,14.797187805175781,12.080982208251953
14.429576300401552,20.89883804321289,14.456462860107422
11.306986935690583,15.437942504882812,11.33536148071289
12.553615101361139,17.18167495727539,12.579872131347656
10.15079175132652,15.876419067382812,10.171405792236328
10.653133681093582,14.104129791259766,10.682182312011719
11.626065537840997,14.333053588867188,11.653141021728516
10.529011547566462,13.451114654541016,10.557682037353516
3.6826614231463637,3.7961387634277344,3.754161834716797
15.460489972197662,25.859981536865234,15.484210968017578
10.026482523284754,12.08843994140625,10.05368423461914
13.91825635467401,21.218421936035156,13.944168090820312
7.1495905664290085,7.227108001708984,7.178112030029297
12.885885263832082,17.838035583496094,12.91329574584961
14.549070040455517,19.462261199951172,14.577220916748047
12.479495408277185,16.93267822265625,12.504936218261719
14.105361041800482,22.136722564697266,14.132579803466797
12.917662930554986,15.240997314453125,12.944896697998047
13.249734908870272,20.947540283203125,13.273326873779297
10.979350835521416,21.50934600830078,11.030448913574219
11.128115533083848,13.056526184082031,11.156558990478516
10.844540042905821,12.733779907226562,10.882377624511719
13.521970271158176,18.0247802734375,13.548175811767578
13.743305944903021,18.28791046142578,13.771121978759766
13.201325879372728,23.092334747314453,13.223217010498047
13.215730858564912,17.00857162475586,13.24298095703125
13.651641191295417,18.19092559814453,13.677509307861328
13.159811587673712,20.756900787353516,13.182430267333984
9.449314837352027,10.512889862060547,9.475700378417969
13.197885457196874,18.732650756835938,13.225101470947266
9.222257074655062,10.481807708740234,9.25033950805664
7.388376936067122,7.839744567871094,7.418426513671875
9.955738819960025,10.967323303222656,9.983909606933594
11.266874216423265,13.418426513671875,11.294197082519531
11.99042710881599,15.203933715820312,12.016960144042969
12.227717984963581,14.884727478027344,12.2550048828125
12.345709367056704,16.92760467529297,12.371623992919922
12.493726034583315,17.09783935546875,12.520927429199219
5.9859670999781125,7.384113311767578,6.021999359130859
7.62347524253033,7.687812805175781,7.654918670654297
13.033284614246352,18.997894287109375,13.059589385986328
